"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ELOVL1",-0.374186734693876,7.65007806122449,-6.28780193726872,2.0432323268582e-09,5.66298743828865e-09,10.2561636017257
"PLA2G4F",-0.465121428571431,4.96209540816327,-6.28765930485443,2.04479486380446e-09,5.66653416884696e-09,10.2554146623149
"EID1",-0.516808163265303,9.15865,-6.28728694019166,2.04887964597634e-09,5.67706859582905e-09,10.2534594897424
"AIPL1",-0.161003061224489,2.51095255102041,-6.28688511321945,2.05329661068356e-09,5.68852039853737e-09,10.2513497059179
"GGPS1",0.248954081632656,7.93771989795918,6.28643313698236,2.05827599629311e-09,5.70152696816094e-09,10.2489767215156
"RPLP1",0.12963061224489,12.6146969387755,6.28635816355456,2.05910311784272e-09,5.70256663858108e-09,10.248583103873
"CTSB",0.345423469387748,10.8826964285714,6.28634751337976,2.05922063912023e-09,5.70256663858108e-09,10.2485271896931
"NCF1 /// NCF1B /// NCF1C",-0.613797959183678,4.41851632653061,-6.28584614611028,2.06476052352999e-09,5.71711783937474e-09,10.24589504687
"LZTS1",-0.26058163265306,3.55874795918367,-6.28457634712238,2.07885676390221e-09,5.75535344821076e-09,10.2392293157455
"ZFYVE21",-0.405118367346934,5.84699081632653,-6.28351348922298,2.09072830855646e-09,5.78742023011077e-09,10.2336505971114
"CDC37",0.275221428571425,6.91965867346939,6.28258271293315,2.10117920920479e-09,5.81554615888362e-09,10.2287656622885
"GGA2",0.343644897959182,5.02099693877551,6.28148202905645,2.11360404443262e-09,5.84912692666371e-09,10.2229896329277
"RAB3D",0.238073469387757,2.92472040816327,6.28095320437349,2.11959918865257e-09,5.86490753401615e-09,10.2202147730576
"BRSK2",0.395936734693877,3.47237448979592,6.28090896131876,2.12010151631541e-09,5.86548731892647e-09,10.2199826270221
"FAM110B",-0.34098469387755,3.83514948979592,-6.2804141168281,2.12572785987714e-09,5.88024112357343e-09,10.2173862215641
"FCRLA",-0.652051020408165,3.78113979591837,-6.2802488236386,2.12761049398664e-09,5.88463634212818e-09,10.2165189730634
"KCNB1",-0.421643877551021,2.41283724489796,-6.27852361756511,2.14735795590645e-09,5.93843483305825e-09,10.2074681910433
"USP44",-0.207547959183672,2.16537295918367,-6.27739949783574,2.16032180523363e-09,5.97346124558251e-09,10.2015717201606
"RGAG4",-0.21619387755102,3.74565,-6.27673812693497,2.16798488972168e-09,5.99382297761448e-09,10.1981028855975
"CXCL9",1.49608979591837,5.77974693877551,6.27658238984914,2.16979324084184e-09,5.99799475559328e-09,10.1972860930921
"WWC3",0.526061224489794,6.99355204081633,6.2763290523688,2.17273804863851e-09,6.00530647466545e-09,10.1959574457233
"MED12L",-0.147215306122449,2.14965765306122,-6.27630308775411,2.17304008417864e-09,6.0053127336668e-09,10.1958212743747
"MAEA",-0.228852040816324,9.57963214285714,-6.27601594290991,2.17638306964992e-09,6.01372165990302e-09,10.19431536904
"GDF6",-0.441270408163266,2.84646479591837,-6.27188741730253,2.22500972754015e-09,6.14723760471821e-09,10.1726687561968
"PSD",-0.919831632653061,3.706025,-6.27123241494195,2.23282187063612e-09,6.16797028881044e-09,10.169235330781
"APLP1",-0.240784693877553,2.98089132653061,-6.2711631360197,2.23364972553453e-09,6.16940644583389e-09,10.1688721948857
"MAML2",-0.455413265306122,7.96496581632653,-6.27101889348254,2.23537433179404e-09,6.17331871916597e-09,10.1681161344925
"TNPO1",0.313990816326532,8.42757295918367,6.26899746889383,2.25968101401511e-09,6.23958507977461e-09,10.1575218716164
"ZC3H12A",0.64301326530612,5.05549336734694,6.26544299142157,2.30305257630756e-09,6.35846916499026e-09,10.1388984133673
"LDHAL6A",0.153461224489795,2.36151326530612,6.26480757792404,2.31089148019939e-09,6.37923233055456e-09,10.1355699462145
"ZNF253",0.387999999999998,3.53821632653061,6.26134622659893,2.35405517793711e-09,6.49749068333070e-09,10.117442405819
"METTL14",-0.295915306122448,6.48567397959184,-6.26126044931517,2.3551348221452e-09,6.49957513321874e-09,10.1169932639848
"MBOAT7",-0.440877551020414,7.80427755102041,-6.25863233294403,2.38845043122533e-09,6.59060984693349e-09,10.1032340681373
"HSD3B7",0.404360204081629,5.8614637755102,6.25771920186012,2.40013375838269e-09,6.62193631478867e-09,10.0984543788474
"LOC728417",0.190188775510205,2.3393943877551,6.25678940546047,2.41208794240744e-09,6.65400134263954e-09,10.0935879346552
"HDDC3",0.375653061224487,5.78230714285714,6.25639678255343,2.41715333551648e-09,6.66705669425881e-09,10.0915331377199
"PPP2R4",0.318103061224488,5.38862193877551,6.25636671230953,2.41754171446318e-09,6.66720996225782e-09,10.0913757682654
"PLXNA3",0.3822,4.69682346938776,6.25593083134451,2.42317831488831e-09,6.68183498722059e-09,10.0890946878052
"PPP1R7",0.338904081632656,8.3042387755102,6.25370060557359,2.45222093784604e-09,6.76098844589455e-09,10.077424985277
"CHN1",0.918212244897961,4.87412959183674,6.25339499320936,2.45622722588216e-09,6.77110224523151e-09,10.0758260785514
"EAF2",-0.532955102040822,5.70352448979592,-6.25263752261518,2.46618465638814e-09,6.79761656871542e-09,10.0718633588787
