"","value","group","gsm"
"GSM107092",4.94216987150024,"low","GSM107092"
"GSM107093",4.86324906212058,"low","GSM107093"
"GSM107094",5.20298376077569,"low","GSM107094"
"GSM107095",7.50639004925879,"high","GSM107095"
"GSM107096",6.72563709073896,"low","GSM107096"
"GSM107097",5.05682865470124,"low","GSM107097"
"GSM107098",7.43571615991347,"high","GSM107098"
"GSM107099",7.27199487353208,"high","GSM107099"
"GSM107100",5.99530172935764,"low","GSM107100"
"GSM107101",6.03234364653729,"low","GSM107101"
"GSM107102",4.76615428498693,"low","GSM107102"
"GSM107103",7.27848096232291,"high","GSM107103"
"GSM107104",6.41850292886381,"low","GSM107104"
"GSM107105",5.07882707581758,"low","GSM107105"
"GSM107106",7.24044805698199,"high","GSM107106"
"GSM107107",7.25313000592499,"high","GSM107107"
"GSM107108",6.88814258374825,"low","GSM107108"
"GSM107109",5.6484005788988,"low","GSM107109"
"GSM107110",4.6745262444986,"low","GSM107110"
"GSM107111",7.1692934687872,"high","GSM107111"
"GSM107112",6.65837968273556,"low","GSM107112"
"GSM107113",5.93729723518232,"low","GSM107113"
"GSM107114",6.3464253882533,"low","GSM107114"
"GSM107115",7.33986645909445,"high","GSM107115"
"GSM107117",7.36375342981002,"high","GSM107117"
"GSM107118",7.37749443862183,"high","GSM107118"
"GSM107119",7.2102568776247,"high","GSM107119"
"GSM107120",8.08969553830462,"high","GSM107120"
"GSM107121",7.12025796294033,"high","GSM107121"
"GSM107122",6.96763532827872,"high","GSM107122"
"GSM107123",7.17574505631938,"high","GSM107123"
"GSM107124",6.46853408488806,"low","GSM107124"
"GSM107125",7.1022921276959,"high","GSM107125"
"GSM107126",6.7811079713246,"low","GSM107126"
"GSM107127",5.10738004393566,"low","GSM107127"
"GSM107128",7.29472359197568,"high","GSM107128"
"GSM107129",6.33960995440113,"low","GSM107129"
"GSM107130",5.8442667370032,"low","GSM107130"
"GSM107131",4.89162301782495,"low","GSM107131"
"GSM107132",7.28085987086529,"high","GSM107132"
"GSM107133",5.79578666248569,"low","GSM107133"
"GSM107134",6.44284835720924,"low","GSM107134"
